order_id,product_id,quantity,price,discount,total_price
1,148,2,2047.04,0.1,3684.67
2,277,2,3435.47,0.2,5496.75
2,224,2,1630.29,0.1,2934.52
3,20,3,670.4,0.1,1810.08
3,160,3,961.86,0.1,2597.02
3,291,3,850.79,0,2552.37
3,130,1,3052.06,0.1,2746.85
3,47,3,2238.71,0.1,6044.52
4,105,3,985.57,0.1,2661.04
4,107,3,171.93,0.1,464.21
4,273,3,4036.68,0,12110.04
4,205,1,1317.26,0.2,1053.81
4,146,3,1738.9,0.1,4695.03
5,75,2,3915.6,0.2,6264.96
5,154,1,3505.06,0.1,3154.55
5,89,3,130.17,0.2,312.41
6,158,2,3200.7,0.1,5761.26
7,107,1,171.93,0.2,137.54
7,214,3,956.15,0,2868.45
8,91,3,1308.63,0.2,3140.71
8,3,3,1407.01,0.2,3376.82
9,33,2,1950.06,0,3900.12
9,16,3,3952.33,0.1,10671.29
9,134,2,1581.19,0,3162.38
10,156,2,4614.81,0.2,7383.7
11,89,2,130.17,0.1,234.31
12,263,2,3765.62,0,7531.24
12,169,1,4666.14,0,4666.14
12,298,3,2955.32,0.1,7979.36
12,157,3,1420.43,0,4261.29
13,55,3,4758.22,0,14274.66
13,215,3,3807.34,0,11422.02
13,246,1,358.61,0.2,286.89
13,47,2,2238.71,0,4477.42
14,253,3,655.15,0,1965.45
14,185,2,1406.51,0,2813.02
14,35,3,147.11,0.2,353.06
14,111,2,132.09,0.2,211.34
14,1,3,1571.14,0,4713.42
15,86,2,4925.27,0.1,8865.49
15,173,1,3917.1,0.2,3133.68
15,266,1,1513.44,0.1,1362.1
16,252,2,3127.93,0,6255.86
16,238,1,2511.77,0,2511.77
17,90,1,183.24,0.2,146.59
17,169,1,4666.14,0.1,4199.53
17,160,1,961.86,0.1,865.67
18,223,3,3793.34,0.1,10242.02
18,92,1,1893.48,0,1893.48
18,287,3,4626.22,0.2,11102.93
19,187,3,4233.39,0.1,11430.15
19,147,2,1158.14,0,2316.28
19,239,3,3599.71,0.2,8639.3
19,229,1,1081.83,0.2,865.46
20,260,1,4129.31,0.2,3303.45
20,211,3,2468.4,0,7405.2
20,74,2,3005.42,0,6010.84
20,267,1,4752.35,0,4752.35
21,35,3,147.11,0,441.33
21,213,1,2436.3,0.2,1949.04
21,127,3,4510.8,0,13532.4
21,179,1,3748.16,0.1,3373.34
22,183,3,2480.1,0,7440.3
22,67,1,1384.47,0.1,1246.02
23,259,3,2977.48,0.1,8039.2
23,170,1,2123.49,0,2123.49
23,226,1,2658.25,0,2658.25
24,174,3,4378.44,0.2,10508.26
24,25,3,2807.38,0.2,6737.71
24,110,3,478.85,0.2,1149.24
25,24,2,4661.82,0.2,7458.91
25,219,1,134.79,0.2,107.83
26,98,2,1535.92,0.2,2457.47
26,44,2,3885.07,0,7770.14
26,12,2,1645.78,0.1,2962.4
27,131,3,2349.61,0.2,5639.06
27,288,2,4205.02,0.1,7569.04
27,245,2,4842.81,0.2,7748.5
28,262,1,579.31,0,579.31
29,204,3,2819.85,0.2,6767.64
29,239,3,3599.71,0.1,9719.22
29,20,3,670.4,0.1,1810.08
30,103,3,1726.45,0.1,4661.42
30,299,2,2527.49,0.2,4043.98
30,273,1,4036.68,0,4036.68
30,161,3,2773.7,0,8321.1
31,112,1,2686.4,0.2,2149.12
31,10,2,4384.24,0,8768.48
31,209,1,4282.34,0.1,3854.11
31,148,1,2047.04,0.2,1637.63
32,240,2,1075.21,0.2,1720.34
32,92,2,1893.48,0.2,3029.57
33,181,2,3568.87,0,7137.74
33,217,1,1838.37,0.2,1470.7
34,115,3,2411.4,0,7234.2
34,270,1,3310.85,0.2,2648.68
35,143,1,2349.66,0,2349.66
35,267,2,4752.35,0.1,8554.23
35,154,2,3505.06,0.1,6309.11
35,12,1,1645.78,0,1645.78
36,62,2,2655.9,0,5311.8
36,288,1,4205.02,0.1,3784.52
36,67,3,1384.47,0,4153.41
37,149,3,4047.23,0.2,9713.35
37,233,3,3048.45,0.2,7316.28
37,47,3,2238.71,0,6716.13
37,203,2,4122.66,0,8245.32
37,272,2,1711.82,0.2,2738.91
38,269,3,4355.56,0,13066.68
38,60,2,4674.62,0,9349.24
38,69,3,2395.28,0.1,6467.26
38,200,3,456.13,0,1368.39
39,23,2,4414.98,0,8829.96
39,141,3,1689.08,0.2,4053.79
39,157,1,1420.43,0.1,1278.39
39,230,2,1046.39,0.2,1674.22
40,127,1,4510.8,0.1,4059.72
40,79,2,2449.85,0.1,4409.73
41,297,3,4780.41,0.1,12907.11
41,275,3,1095.75,0,3287.25
41,214,3,956.15,0.2,2294.76
41,262,2,579.31,0,1158.62
42,4,1,4485.44,0.1,4036.9
42,44,2,3885.07,0.2,6216.11
43,13,3,3075.58,0.2,7381.39
43,154,3,3505.06,0,10515.18
44,54,1,954.56,0,954.56
44,199,3,1706.15,0.2,4094.76
45,289,2,1989.64,0.2,3183.42
45,238,3,2511.77,0.2,6028.25
46,101,2,3677.55,0.2,5884.08
46,93,2,4086.52,0,8173.04
47,91,3,1308.63,0.2,3140.71
47,249,3,2443.3,0.1,6596.91
